from_id,to_id,travel_time
48060056,0,71.0
48060056,1,72.0
48060056,2,85.0
48060056,3,
48060056,4,64.0
48060057,0,68.0
48060057,1,69.0
48060057,2,81.0
48060057,3,118.0
48060057,4,61.0
48060058,0,70.0
48060058,1,68.0
48060058,2,84.0
48060058,3,118.0
48060058,4,61.0
48060059,0,70.0
48060059,1,70.0
48060059,2,84.0
48060059,3,
48060059,4,63.0
48060060,0,71.0
48060060,1,70.0
48060060,2,85.0
48060060,3,
48060060,4,63.0
48060061,0,70.0
48060061,1,68.0
48060061,2,82.0
48060061,3,117.0
48060061,4,60.0
48060062,0,61.0
48060062,1,59.0
48060062,2,74.0
48060062,3,108.0
48060062,4,50.0
48060063,0,64.0
48060063,1,61.0
48060063,2,76.0
48060063,3,110.0
48060063,4,52.0
48060064,0,60.0
48060064,1,57.0
48060064,2,72.0
48060064,3,106.0
48060064,4,49.0
48060065,0,62.0
48060065,1,59.0
48060065,2,74.0
48060065,3,108.0
48060065,4,51.0
48060066,0,60.0
48060066,1,57.0
48060066,2,73.0
48060066,3,105.0
48060066,4,49.0
48060067,0,57.0
48060067,1,54.0
48060067,2,70.0
48060067,3,103.0
48060067,4,47.0
48060068,0,52.0
48060068,1,50.0
48060068,2,66.0
48060068,3,100.0
48060068,4,43.0
48060069,0,54.0
48060069,1,52.0
48060069,2,68.0
48060069,3,101.0
48060069,4,44.0
48060070,0,55.0
48060070,1,58.0
48060070,2,70.0
48060070,3,107.0
48060070,4,51.0
48060071,0,57.0
48060071,1,56.0
48060071,2,70.0
48060071,3,105.0
48060071,4,48.0
48060072,0,60.0
48060072,1,59.0
48060072,2,73.0
48060072,3,108.0
48060072,4,52.0
48060073,0,58.0
48060073,1,62.0
48060073,2,75.0
48060073,3,115.0
48060073,4,59.0
48060074,0,60.0
48060074,1,62.0
48060074,2,75.0
48060074,3,112.0
48060074,4,56.0
48060075,0,62.0
48060075,1,63.0
48060075,2,76.0
48060075,3,114.0
48060075,4,57.0
48060077,0,57.0
48060077,1,58.0
48060077,2,74.0
48060077,3,113.0
48060077,4,56.0
48060078,0,58.0
48060078,1,58.0
48060078,2,74.0
48060078,3,112.0
48060078,4,55.0
48060079,0,61.0
48060079,1,53.0
48060079,2,74.0
48060079,3,107.0
48060079,4,51.0
48060080,0,63.0
48060080,1,55.0
48060080,2,76.0
48060080,3,111.0
48060080,4,54.0
48060085,0,53.0
48060085,1,51.0
48060085,2,67.0
48060085,3,101.0
48060085,4,44.0
48060086,0,50.0
48060086,1,51.0
48060086,2,64.0
48060086,3,99.0
48060086,4,42.0
48060087,0,46.0
48060087,1,51.0
48060087,2,64.0
48060087,3,103.0
48060087,4,48.0
48060088,0,52.0
48060088,1,52.0
48060088,2,67.0
48060088,3,102.0
48060088,4,46.0
48060089,0,50.0
48060089,1,47.0
48060089,2,63.0
48060089,3,97.0
48060089,4,39.0
48060090,0,54.0
48060090,1,48.0
48060090,2,67.0
48060090,3,100.0
48060090,4,43.0
48060091,0,48.0
48060091,1,43.0
48060091,2,61.0
48060091,3,95.0
48060091,4,37.0
48060092,0,50.0
48060092,1,43.0
48060092,2,63.0
48060092,3,97.0
48060092,4,40.0
48060093,0,44.0
48060093,1,40.0
48060093,2,57.0
48060093,3,91.0
48060093,4,33.0
48060094,0,52.0
48060094,1,45.0
48060094,2,64.0
48060094,3,97.0
48060094,4,41.0
48060095,0,48.0
48060095,1,47.0
48060095,2,61.0
48060095,3,94.0
48060095,4,36.0
48060096,0,49.0
48060096,1,46.0
48060096,2,62.0
48060096,3,95.0
48060096,4,37.0
48060097,0,42.0
48060097,1,42.0
48060097,2,54.0
48060097,3,87.0
48060097,4,30.0
48060098,0,47.0
48060098,1,47.0
48060098,2,59.0
48060098,3,92.0
48060098,4,35.0
48060099,0,49.0
48060099,1,48.0
48060099,2,64.0
48060099,3,97.0
48060099,4,40.0
48060100,0,48.0
48060100,1,49.0
48060100,2,64.0
48060100,3,97.0
48060100,4,40.0
48060101,0,50.0
48060101,1,57.0
48060101,2,66.0
48060101,3,102.0
48060101,4,45.0
48060102,0,47.0
48060102,1,55.0
48060102,2,64.0
48060102,3,101.0
48060102,4,44.0
48060103,0,41.0
48060103,1,52.0
48060103,2,61.0
48060103,3,98.0
48060103,4,41.0
48060104,0,36.0
48060104,1,48.0
48060104,2,57.0
48060104,3,96.0
48060104,4,39.0
48060105,0,39.0
48060105,1,48.0
48060105,2,60.0
48060105,3,96.0
48060105,4,40.0
48060106,0,32.0
48060106,1,41.0
48060106,2,55.0
48060106,3,92.0
48060106,4,35.0
48060107,0,34.0
48060107,1,41.0
